,prop_type,price,beds,baths,source,city,sqft
0,townhome,101,2,3,mls,Staten Island,121.0
2,townhome,850,1,1,unit_rental,New York,179.0
4,single_family,900,1,2,mls,Corona,900.0
7,condo,900,4,1,unit_rental,New York,128.0
8,condo,925,4,2,unit_rental,New York,104.0
9,condo,925,3,1,unit_rental,New York,113.0
13,single_family,950,1,1,mls,Jamaica,600.0
18,single_family,1000,1,1,unit_rental,New York,200.0
21,condo,1025,4,1,unit_rental,New York,100.0
22,condo,1050,4,1,unit_rental,New York,102.0
23,condo,1050,4,1,unit_rental,New York,126.0
24,condo,1050,3,2,unit_rental,New York,107.0
28,condo,1075,5,2,unit_rental,New York,145.0
30,condo,1075,4,1,unit_rental,New York,107.0
31,condo,1100,5,2,unit_rental,New York,155.0
35,multi_family,1100,1,1,mls,Brooklyn,800.0
36,condo,1100,4,2,unit_rental,New York,133.0
37,condo,1125,5,2,unit_rental,New York,175.0
42,condo,1150,4,2,unit_rental,New York,111.0
56,condo,1200,3,2,unit_rental,New York,122.0
67,condo,1225,5,3,unit_rental,New York,108.0
69,condo,1225,4,2,unit_rental,New York,178.0
72,condo,1225,4,2,unit_rental,New York,136.0
76,condo,1250,2,1,unit_rental,New York,110.0
78,condo,1250,4,2,unit_rental,New York,114.0
83,multi_family,1250,1,1,mls,Brooklyn,800.0
84,condo,1275,4,2,unit_rental,New York,112.0
85,condo,1275,4,1,unit_rental,New York,100.0
86,condo,1275,4,2,unit_rental,New York,106.0
88,condo,1275,4,1,unit_rental,New York,103.0
90,single_family,1295,1,1,unit_rental,New York,650.0
92,apartment,1300,1,1,mls,Staten Island,500.0
95,condo,1300,3,1,unit_rental,New York,101.0
103,condo,1300,4,2,unit_rental,New York,120.0
105,condo,1300,4,2,unit_rental,New York,120.0
108,condo,1325,4,1,unit_rental,New York,120.0
116,single_family,1350,1,1,unit_rental,New York,650.0
117,condo,1350,3,2,unit_rental,New York,113.0
121,apartment,1350,1,1,unit_rental,Bronx,850.0
126,condo,1350,3,1,unit_rental,New York,102.0
129,condo,1375,4,2,unit_rental,New York,120.0
130,condo,1375,4,2,unit_rental,New York,107.0
132,condo,1375,4,1,unit_rental,New York,132.0
134,single_family,1375,1,1,mls,Staten Island,1936.0
137,condo,1375,4,2,unit_rental,New York,135.0
